title,genres
Toy Story (1995),Adventure|Animation|Children|Comedy|Fantasy
Jumanji (1995),Adventure|Children|Fantasy
Grumpier Old Men (1995),Comedy|Romance
Waiting to Exhale (1995),Comedy|Drama|Romance
Father of the Bride Part II (1995),Comedy
Heat (1995),Action|Crime|Thriller
Sabrina (1995),Comedy|Romance
Tom and Huck (1995),Adventure|Children
Sudden Death (1995),Action
GoldenEye (1995),Action|Adventure|Thriller
"American President, The (1995)",Comedy|Drama|Romance
Dracula: Dead and Loving It (1995),Comedy|Horror
Balto (1995),Adventure|Animation|Children
Nixon (1995),Drama
Cutthroat Island (1995),Action|Adventure|Romance
Casino (1995),Crime|Drama
Sense and Sensibility (1995),Drama|Romance
Four Rooms (1995),Comedy
Ace Ventura: When Nature Calls (1995),Comedy
Money Train (1995),Action|Comedy|Crime|Drama|Thriller
Get Shorty (1995),Comedy|Crime|Thriller
Copycat (1995),Crime|Drama|Horror|Mystery|Thriller
Assassins (1995),Action|Crime|Thriller
Powder (1995),Drama|Sci-Fi
Leaving Las Vegas (1995),Drama|Romance
Othello (1995),Drama
Now and Then (1995),Children|Drama
Persuasion (1995),Drama|Romance
"City of Lost Children, The (Cité des enfants perdus, La) (1995)",Adventure|Drama|Fantasy|Mystery|Sci-Fi
Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),Crime|Drama
Dangerous Minds (1995),Drama
Twelve Monkeys (a.k.a. 12 Monkeys) (1995),Mystery|Sci-Fi|Thriller
Wings of Courage (1995),Adventure|Romance|IMAX
Babe (1995),Children|Drama
Carrington (1995),Drama|Romance
Dead Man Walking (1995),Crime|Drama
Across the Sea of Time (1995),Documentary|IMAX
It Takes Two (1995),Children|Comedy
Clueless (1995),Comedy|Romance
"Cry, the Beloved Country (1995)",Drama
Richard III (1995),Drama|War
Dead Presidents (1995),Action|Crime|Drama
Restoration (1995),Drama
Mortal Kombat (1995),Action|Adventure|Fantasy
To Die For (1995),Comedy|Drama|Thriller
How to Make an American Quilt (1995),Drama|Romance
Seven (a.k.a. Se7en) (1995),Mystery|Thriller
Pocahontas (1995),Animation|Children|Drama|Musical|Romance
When Night Is Falling (1995),Drama|Romance
"Usual Suspects, The (1995)",Crime|Mystery|Thriller
Guardian Angel (1994),Action|Drama|Thriller
Mighty Aphrodite (1995),Comedy|Drama|Romance
Lamerica (1994),Adventure|Drama
"Big Green, The (1995)",Children|Comedy
Georgia (1995),Drama
Kids of the Round Table (1995),Adventure|Children|Comedy|Fantasy
Home for the Holidays (1995),Drama
"Postman, The (Postino, Il) (1994)",Comedy|Drama|Romance
"Confessional, The (Confessionnal, Le) (1995)",Drama|Mystery
"Indian in the Cupboard, The (1995)",Adventure|Children|Fantasy
Eye for an Eye (1996),Drama|Thriller
Mr. Holland's Opus (1995),Drama
Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996),Comedy|Crime
Two if by Sea (1996),Comedy|Romance
Bio-Dome (1996),Comedy
Lawnmower Man 2: Beyond Cyberspace (1996),Action|Sci-Fi|Thriller
Two Bits (1995),Drama
French Twist (Gazon maudit) (1995),Comedy|Romance
Friday (1995),Comedy
From Dusk Till Dawn (1996),Action|Comedy|Horror|Thriller
Fair Game (1995),Action
Kicking and Screaming (1995),Comedy|Drama
"Misérables, Les (1995)",Drama|War
Bed of Roses (1996),Drama|Romance
Big Bully (1996),Comedy|Drama
Screamers (1995),Action|Sci-Fi|Thriller
Nico Icon (1995),Documentary
"Crossing Guard, The (1995)",Action|Crime|Drama|Thriller
"Juror, The (1996)",Drama|Thriller
"White Balloon, The (Badkonake sefid) (1995)",Children|Drama
Things to Do in Denver When You're Dead (1995),Crime|Drama|Romance
Antonia's Line (Antonia) (1995),Comedy|Drama
Once Upon a Time... When We Were Colored (1995),Drama|Romance
Last Summer in the Hamptons (1995),Comedy|Drama
Angels and Insects (1995),Drama|Romance
White Squall (1996),Action|Adventure|Drama
Dunston Checks In (1996),Children|Comedy
Black Sheep (1996),Comedy
Nick of Time (1995),Action|Thriller
The Journey of August King (1995),Drama
Mary Reilly (1996),Drama|Horror|Thriller
Vampire in Brooklyn (1995),Comedy|Horror|Romance
Beautiful Girls (1996),Comedy|Drama|Romance
Broken Arrow (1996),Action|Adventure|Thriller
In the Bleak Midwinter (1995),Comedy|Drama
"Hate (Haine, La) (1995)",Crime|Drama
Shopping (1994),Action|Thriller
Heidi Fleiss: Hollywood Madam (1995),Documentary
City Hall (1996),Drama|Thriller
